feature,shap,family,protocol,seed
query_len,0.0,CatBoost,random_same_rows,1
url_len,0.1331081898318394,CatBoost,random_same_rows,2
dom_len,0.09680131354252312,CatBoost,random_same_rows,2
is_ip,0.0,CatBoost,random_same_rows,2
tld_len,1.1143119386582243,CatBoost,random_same_rows,2
subdom_cnt,0.14949456051163543,CatBoost,random_same_rows,2
letter_cnt,0.10419082553383069,CatBoost,random_same_rows,2
digit_cnt,0.3846123503264788,CatBoost,random_same_rows,2
special_cnt,0.23190089695509253,CatBoost,random_same_rows,2
eq_cnt,0.0,CatBoost,random_same_rows,2
qm_cnt,0.0,CatBoost,random_same_rows,2
amp_cnt,0.0,CatBoost,random_same_rows,2
dot_cnt,0.6603998095337559,CatBoost,random_same_rows,2
dash_cnt,0.15426705694061627,CatBoost,random_same_rows,2
under_cnt,0.0,CatBoost,random_same_rows,2
letter_ratio,0.1917911764013064,CatBoost,random_same_rows,2
digit_ratio,0.39026059984682016,CatBoost,random_same_rows,2
spec_ratio,0.2686074071854133,CatBoost,random_same_rows,2
slash_cnt,0.0007023377487234842,CatBoost,random_same_rows,2
entropy,0.14342742443016956,CatBoost,random_same_rows,2
path_len,0.00021240587040411378,CatBoost,random_same_rows,2
query_len,0.0,CatBoost,random_same_rows,2
url_len,0.09024904203563444,CatBoost,random_same_rows,3
dom_len,0.12681470630455996,CatBoost,random_same_rows,3
is_ip,0.0,CatBoost,random_same_rows,3
tld_len,1.1083579433636446,CatBoost,random_same_rows,3
subdom_cnt,0.05322223243233476,CatBoost,random_same_rows,3
letter_cnt,0.07143868602152435,CatBoost,random_same_rows,3
digit_cnt,0.4200100604272975,CatBoost,random_same_rows,3
special_cnt,0.13668816205864648,CatBoost,random_same_rows,3
eq_cnt,0.0,CatBoost,random_same_rows,3
qm_cnt,0.0,CatBoost,random_same_rows,3
amp_cnt,0.0,CatBoost,random_same_rows,3
dot_cnt,0.8325203978013772,CatBoost,random_same_rows,3
dash_cnt,0.13592290373933139,CatBoost,random_same_rows,3
under_cnt,4.280911420301265e-06,CatBoost,random_same_rows,3
letter_ratio,0.21122002260505388,CatBoost,random_same_rows,3
digit_ratio,0.37193748462897014,CatBoost,random_same_rows,3
spec_ratio,0.2642905546266253,CatBoost,random_same_rows,3
slash_cnt,0.0013847358655187164,CatBoost,random_same_rows,3
entropy,0.14608366887720844,CatBoost,random_same_rows,3
path_len,0.0002482718973753068,CatBoost,random_same_rows,3
query_len,0.0,CatBoost,random_same_rows,3
url_len,0.14406580437782424,CatBoost,random_same_rows,4
dom_len,0.11179243009116054,CatBoost,random_same_rows,4
is_ip,0.0,CatBoost,random_same_rows,4
tld_len,1.1334240790137005,CatBoost,random_same_rows,4
subdom_cnt,0.1684395520676518,CatBoost,random_same_rows,4
letter_cnt,0.09283586327540105,CatBoost,random_same_rows,4
digit_cnt,0.3389261980524865,CatBoost,random_same_rows,4
special_cnt,0.13841645474941874,CatBoost,random_same_rows,4
eq_cnt,0.0,CatBoost,random_same_rows,4
qm_cnt,0.0,CatBoost,random_same_rows,4
amp_cnt,0.0,CatBoost,random_same_rows,4
dot_cnt,0.6727030183553054,CatBoost,random_same_rows,4
dash_cnt,0.14086814607908862,CatBoost,random_same_rows,4
under_cnt,0.0,CatBoost,random_same_rows,4
letter_ratio,0.17242406958658393,CatBoost,random_same_rows,4
digit_ratio,0.5087187557084135,CatBoost,random_same_rows,4
spec_ratio,0.24035960723390867,CatBoost,random_same_rows,4
slash_cnt,0.0007213753784217631,CatBoost,random_same_rows,4
entropy,0.14687284953361598,CatBoost,random_same_rows,4
path_len,0.00023514713517903312,CatBoost,random_same_rows,4
query_len,0.0,CatBoost,random_same_rows,4
url_len,0.1131095780584517,CatBoost,temporal_strict,0
dom_len,0.14123202446844632,CatBoost,temporal_strict,0
is_ip,0.0,CatBoost,temporal_strict,0
tld_len,1.1077018278082846,CatBoost,temporal_strict,0
subdom_cnt,0.08862458055043379,CatBoost,temporal_strict,0
letter_cnt,0.15881672189929322,CatBoost,temporal_strict,0
digit_cnt,0.49627407870279155,CatBoost,temporal_strict,0
special_cnt,0.2272482006915266,CatBoost,temporal_strict,0
eq_cnt,0.0,CatBoost,temporal_strict,0
qm_cnt,0.0,CatBoost,temporal_strict,0
amp_cnt,0.0,CatBoost,temporal_strict,0
dot_cnt,0.5328059441970624,CatBoost,temporal_strict,0
dash_cnt,0.08331461932399846,CatBoost,temporal_strict,0
under_cnt,0.0,CatBoost,temporal_strict,0
letter_ratio,0.09355772315294326,CatBoost,temporal_strict,0
digit_ratio,0.45364525127414784,CatBoost,temporal_strict,0
spec_ratio,0.24990532834253765,CatBoost,temporal_strict,0
slash_cnt,0.0003824949939526574,CatBoost,temporal_strict,0
entropy,0.15741238819688527,CatBoost,temporal_strict,0
path_len,0.00019699576577385827,CatBoost,temporal_strict,0
query_len,0.0,CatBoost,temporal_strict,0
url_len,0.08653876191119152,CatBoost,temporal_strict,1
dom_len,0.09694600984748143,CatBoost,temporal_strict,1
is_ip,0.0,CatBoost,temporal_strict,1
tld_len,1.1303275121148741,CatBoost,temporal_strict,1
subdom_cnt,0.15577656539663437,CatBoost,temporal_strict,1
letter_cnt,0.0909695962378108,CatBoost,temporal_strict,1
digit_cnt,0.31370581560656186,CatBoost,temporal_strict,1
special_cnt,0.285739271883934,CatBoost,temporal_strict,1
eq_cnt,0.0,CatBoost,temporal_strict,1
qm_cnt,0.0,CatBoost,temporal_strict,1
amp_cnt,0.0,CatBoost,temporal_strict,1
dot_cnt,0.5472671933811779,CatBoost,temporal_strict,1
dash_cnt,0.09041805204449087,CatBoost,temporal_strict,1
under_cnt,3.935242593297568e-06,CatBoost,temporal_strict,1
letter_ratio,0.23062129591208846,CatBoost,temporal_strict,1
digit_ratio,0.38574470962366797,CatBoost,temporal_strict,1
spec_ratio,0.2960687812114382,CatBoost,temporal_strict,1
slash_cnt,0.0011743104029993084,CatBoost,temporal_strict,1
entropy,0.1487585980569258,CatBoost,temporal_strict,1
path_len,0.00051589720161234,CatBoost,temporal_strict,1
query_len,0.0,CatBoost,temporal_strict,1
url_len,0.13191772255556675,CatBoost,temporal_strict,2
dom_len,0.09729242389123051,CatBoost,temporal_strict,2
is_ip,0.0,CatBoost,temporal_strict,2
tld_len,1.036032922018452,CatBoost,temporal_strict,2
subdom_cnt,0.12566586382372302,CatBoost,temporal_strict,2
letter_cnt,0.075760981627459,CatBoost,temporal_strict,2
digit_cnt,0.36283433283584315,CatBoost,temporal_strict,2
special_cnt,0.1864667012871324,CatBoost,temporal_strict,2
eq_cnt,0.0,CatBoost,temporal_strict,2
qm_cnt,0.0,CatBoost,temporal_strict,2
amp_cnt,0.0,CatBoost,temporal_strict,2
dot_cnt,0.6712560171928906,CatBoost,temporal_strict,2
dash_cnt,0.09534394026160006,CatBoost,temporal_strict,2
under_cnt,0.0,CatBoost,temporal_strict,2
letter_ratio,0.1533713056090511,CatBoost,temporal_strict,2
digit_ratio,0.4432263223090372,CatBoost,temporal_strict,2
spec_ratio,0.2799214239174596,CatBoost,temporal_strict,2
slash_cnt,0.0004978074639808206,CatBoost,temporal_strict,2
entropy,0.15756623740952427,CatBoost,temporal_strict,2
path_len,0.0007571842874733838,CatBoost,temporal_strict,2
query_len,0.0,CatBoost,temporal_strict,2
url_len,0.12210348908970341,CatBoost,temporal_strict,3
dom_len,0.10441145989105098,CatBoost,temporal_strict,3
is_ip,0.0,CatBoost,temporal_strict,3
tld_len,1.1131251194443565,CatBoost,temporal_strict,3
subdom_cnt,0.06102944040032377,CatBoost,temporal_strict,3
letter_cnt,0.07589962118017436,CatBoost,temporal_strict,3
digit_cnt,0.32671050839264415,CatBoost,temporal_strict,3
special_cnt,0.1332877893930976,CatBoost,temporal_strict,3
eq_cnt,0.0,CatBoost,temporal_strict,3
qm_cnt,0.0,CatBoost,temporal_strict,3
amp_cnt,0.0,CatBoost,temporal_strict,3
dot_cnt,0.6878316162873991,CatBoost,temporal_strict,3
dash_cnt,0.08707300922598686,CatBoost,temporal_strict,3
under_cnt,1.2965272136742765e-06,CatBoost,temporal_strict,3
letter_ratio,0.24187364930320812,CatBoost,temporal_strict,3
digit_ratio,0.3938655161246713,CatBoost,temporal_strict,3
spec_ratio,0.3263654791645224,CatBoost,temporal_strict,3
slash_cnt,0.001030673849701974,CatBoost,temporal_strict,3
entropy,0.15872806027005337,CatBoost,temporal_strict,3
path_len,0.00035589165547471395,CatBoost,temporal_strict,3
query_len,0.0,CatBoost,temporal_strict,3
url_len,0.17638386915495038,CatBoost,temporal_strict,4
dom_len,0.10634110443103115,CatBoost,temporal_strict,4
is_ip,0.0,CatBoost,temporal_strict,4
tld_len,1.0444207639018286,CatBoost,temporal_strict,4
subdom_cnt,0.08649967563962281,CatBoost,temporal_strict,4
letter_cnt,0.11523104910742825,CatBoost,temporal_strict,4
digit_cnt,0.3507536122974314,CatBoost,temporal_strict,4
special_cnt,0.23454155663973278,CatBoost,temporal_strict,4
eq_cnt,0.0,CatBoost,temporal_strict,4
qm_cnt,0.0,CatBoost,temporal_strict,4
amp_cnt,0.0,CatBoost,temporal_strict,4
dot_cnt,0.5805922303966373,CatBoost,temporal_strict,4
dash_cnt,0.11070657593173437,CatBoost,temporal_strict,4
under_cnt,0.0,CatBoost,temporal_strict,4
letter_ratio,0.15040059363532066,CatBoost,temporal_strict,4
digit_ratio,0.46960664112179196,CatBoost,temporal_strict,4
spec_ratio,0.2603807471217107,CatBoost,temporal_strict,4
slash_cnt,0.0009483278236007633,CatBoost,temporal_strict,4
entropy,0.15907039582621052,CatBoost,temporal_strict,4
path_len,0.000547214018250356,CatBoost,temporal_strict,4
query_len,0.0,CatBoost,temporal_strict,4
url_len,0.10372662544250488,XGBoost,random_same_rows,0
dom_len,0.17924587428569794,XGBoost,random_same_rows,0
is_ip,0.0,XGBoost,random_same_rows,0
tld_len,1.2162303924560547,XGBoost,random_same_rows,0
subdom_cnt,0.35764655470848083,XGBoost,random_same_rows,0
letter_cnt,0.1324923187494278,XGBoost,random_same_rows,0
digit_cnt,0.5979377627372742,XGBoost,random_same_rows,0
special_cnt,0.10203196853399277,XGBoost,random_same_rows,0
eq_cnt,0.0,XGBoost,random_same_rows,0
qm_cnt,0.0,XGBoost,random_same_rows,0
amp_cnt,0.0,XGBoost,random_same_rows,0
dot_cnt,1.3234270811080933,XGBoost,random_same_rows,0
dash_cnt,0.14697375893592834,XGBoost,random_same_rows,0
under_cnt,0.0,XGBoost,random_same_rows,0
letter_ratio,0.11758812516927719,XGBoost,random_same_rows,0
digit_ratio,0.17344918847084045,XGBoost,random_same_rows,0
spec_ratio,0.14403963088989258,XGBoost,random_same_rows,0
slash_cnt,0.0014264287892729044,XGBoost,random_same_rows,0
entropy,0.21106533706188202,XGBoost,random_same_rows,0
path_len,0.000368069508112967,XGBoost,random_same_rows,0
query_len,0.0,XGBoost,random_same_rows,0
url_len,0.14193224906921387,XGBoost,random_same_rows,1
dom_len,0.12764224410057068,XGBoost,random_same_rows,1
is_ip,0.0,XGBoost,random_same_rows,1
tld_len,1.2579336166381836,XGBoost,random_same_rows,1
subdom_cnt,0.4017004072666168,XGBoost,random_same_rows,1
letter_cnt,0.09041503816843033,XGBoost,random_same_rows,1
digit_cnt,0.6157673001289368,XGBoost,random_same_rows,1
special_cnt,0.06844577938318253,XGBoost,random_same_rows,1
eq_cnt,0.0,XGBoost,random_same_rows,1
qm_cnt,0.0,XGBoost,random_same_rows,1
amp_cnt,0.0,XGBoost,random_same_rows,1
dot_cnt,1.3671770095825195,XGBoost,random_same_rows,1
dash_cnt,0.11502410471439362,XGBoost,random_same_rows,1
under_cnt,0.0,XGBoost,random_same_rows,1
letter_ratio,0.14769595861434937,XGBoost,random_same_rows,1
digit_ratio,0.13707907497882843,XGBoost,random_same_rows,1
spec_ratio,0.13195174932479858,XGBoost,random_same_rows,1
slash_cnt,0.0018364429706707597,XGBoost,random_same_rows,1
entropy,0.2334076166152954,XGBoost,random_same_rows,1
path_len,0.003134302329272032,XGBoost,random_same_rows,1
query_len,0.0,XGBoost,random_same_rows,1
url_len,0.12206960469484329,XGBoost,random_same_rows,2
dom_len,0.13935968279838562,XGBoost,random_same_rows,2
is_ip,0.0,XGBoost,random_same_rows,2
tld_len,1.1876777410507202,XGBoost,random_same_rows,2
subdom_cnt,0.40985310077667236,XGBoost,random_same_rows,2
letter_cnt,0.12374844402074814,XGBoost,random_same_rows,2
digit_cnt,0.547497570514679,XGBoost,random_same_rows,2
special_cnt,0.0514516644179821,XGBoost,random_same_rows,2
eq_cnt,0.0,XGBoost,random_same_rows,2
qm_cnt,0.0,XGBoost,random_same_rows,2
amp_cnt,0.0,XGBoost,random_same_rows,2
dot_cnt,1.3816241025924683,XGBoost,random_same_rows,2
dash_cnt,0.1366264671087265,XGBoost,random_same_rows,2
under_cnt,0.0,XGBoost,random_same_rows,2
letter_ratio,0.13364286720752716,XGBoost,random_same_rows,2
digit_ratio,0.17097428441047668,XGBoost,random_same_rows,2
spec_ratio,0.17254796624183655,XGBoost,random_same_rows,2
slash_cnt,0.002031100681051612,XGBoost,random_same_rows,2
entropy,0.24000218510627747,XGBoost,random_same_rows,2
path_len,0.0008568136254325509,XGBoost,random_same_rows,2
query_len,0.0,XGBoost,random_same_rows,2
url_len,0.13730937242507935,XGBoost,random_same_rows,3
dom_len,0.16601985692977905,XGBoost,random_same_rows,3
is_ip,0.0,XGBoost,random_same_rows,3
tld_len,1.1957173347473145,XGBoost,random_same_rows,3
subdom_cnt,0.4195778965950012,XGBoost,random_same_rows,3
letter_cnt,0.13658961653709412,XGBoost,random_same_rows,3
digit_cnt,0.6031644940376282,XGBoost,random_same_rows,3
special_cnt,0.05366931110620499,XGBoost,random_same_rows,3
eq_cnt,0.0,XGBoost,random_same_rows,3
qm_cnt,0.0,XGBoost,random_same_rows,3
amp_cnt,0.0,XGBoost,random_same_rows,3
dot_cnt,1.5281703472137451,XGBoost,random_same_rows,3
dash_cnt,0.12657856941223145,XGBoost,random_same_rows,3
under_cnt,0.0,XGBoost,random_same_rows,3
letter_ratio,0.1551082283258438,XGBoost,random_same_rows,3
digit_ratio,0.1254226118326187,XGBoost,random_same_rows,3
spec_ratio,0.12761662900447845,XGBoost,random_same_rows,3
slash_cnt,0.0017509980825707316,XGBoost,random_same_rows,3
entropy,0.24530023336410522,XGBoost,random_same_rows,3
path_len,0.0015124027850106359,XGBoost,random_same_rows,3
query_len,0.0,XGBoost,random_same_rows,3
url_len,0.1197451651096344,XGBoost,random_same_rows,4
dom_len,0.19636447727680206,XGBoost,random_same_rows,4
is_ip,0.0,XGBoost,random_same_rows,4
tld_len,1.2403602600097656,XGBoost,random_same_rows,4
subdom_cnt,0.3919427692890167,XGBoost,random_same_rows,4
letter_cnt,0.08335264772176743,XGBoost,random_same_rows,4
digit_cnt,0.5470666289329529,XGBoost,random_same_rows,4
special_cnt,0.12510676681995392,XGBoost,random_same_rows,4
eq_cnt,0.0,XGBoost,random_same_rows,4
qm_cnt,0.0,XGBoost,random_same_rows,4
amp_cnt,0.0,XGBoost,random_same_rows,4
dot_cnt,1.4238197803497314,XGBoost,random_same_rows,4
dash_cnt,0.10983815044164658,XGBoost,random_same_rows,4
under_cnt,0.0,XGBoost,random_same_rows,4
letter_ratio,0.1191854178905487,XGBoost,random_same_rows,4
digit_ratio,0.19805388152599335,XGBoost,random_same_rows,4
spec_ratio,0.12745532393455505,XGBoost,random_same_rows,4
slash_cnt,0.0019943593069911003,XGBoost,random_same_rows,4
entropy,0.19776810705661774,XGBoost,random_same_rows,4
path_len,0.0019097380572929978,XGBoost,random_same_rows,4
query_len,0.0,XGBoost,random_same_rows,4
url_len,0.09234755486249924,XGBoost,temporal_strict,0
dom_len,0.1750091165304184,XGBoost,temporal_strict,0
is_ip,0.0,XGBoost,temporal_strict,0
tld_len,1.267683982849121,XGBoost,temporal_strict,0
subdom_cnt,0.37204861640930176,XGBoost,temporal_strict,0
letter_cnt,0.12354438006877899,XGBoost,temporal_strict,0
digit_cnt,0.5535110235214233,XGBoost,temporal_strict,0
special_cnt,0.04574764519929886,XGBoost,temporal_strict,0
eq_cnt,0.0,XGBoost,temporal_strict,0
qm_cnt,0.0,XGBoost,temporal_strict,0
amp_cnt,0.0,XGBoost,temporal_strict,0
dot_cnt,1.3775478601455688,XGBoost,temporal_strict,0
dash_cnt,0.09162171185016632,XGBoost,temporal_strict,0
under_cnt,0.0,XGBoost,temporal_strict,0
letter_ratio,0.14885719120502472,XGBoost,temporal_strict,0
digit_ratio,0.15746095776557922,XGBoost,temporal_strict,0
spec_ratio,0.14567306637763977,XGBoost,temporal_strict,0
slash_cnt,0.0006682586390525103,XGBoost,temporal_strict,0
entropy,0.23324288427829742,XGBoost,temporal_strict,0
path_len,0.0012758772354573011,XGBoost,temporal_strict,0
query_len,0.0,XGBoost,temporal_strict,0
url_len,0.12012556940317154,XGBoost,temporal_strict,1
dom_len,0.15391552448272705,XGBoost,temporal_strict,1
is_ip,0.0,XGBoost,temporal_strict,1
tld_len,1.261789083480835,XGBoost,temporal_strict,1
subdom_cnt,0.38857677578926086,XGBoost,temporal_strict,1
letter_cnt,0.12379909306764603,XGBoost,temporal_strict,1
digit_cnt,0.5981747508049011,XGBoost,temporal_strict,1
special_cnt,0.052913833409547806,XGBoost,temporal_strict,1
eq_cnt,0.0,XGBoost,temporal_strict,1
qm_cnt,0.0,XGBoost,temporal_strict,1
amp_cnt,0.0,XGBoost,temporal_strict,1
dot_cnt,1.3499293327331543,XGBoost,temporal_strict,1
dash_cnt,0.10363586246967316,XGBoost,temporal_strict,1
under_cnt,0.0,XGBoost,temporal_strict,1
letter_ratio,0.1210760623216629,XGBoost,temporal_strict,1
digit_ratio,0.11398609727621078,XGBoost,temporal_strict,1
spec_ratio,0.14978055655956268,XGBoost,temporal_strict,1
slash_cnt,0.0025393704418092966,XGBoost,temporal_strict,1
entropy,0.2028149962425232,XGBoost,temporal_strict,1
path_len,0.004561716690659523,XGBoost,temporal_strict,1
query_len,0.0,XGBoost,temporal_strict,1
url_len,0.14290595054626465,XGBoost,temporal_strict,2
dom_len,0.17744606733322144,XGBoost,temporal_strict,2
is_ip,0.0,XGBoost,temporal_strict,2
tld_len,1.2866425514221191,XGBoost,temporal_strict,2
subdom_cnt,0.343747615814209,XGBoost,temporal_strict,2
letter_cnt,0.09721574187278748,XGBoost,temporal_strict,2
digit_cnt,0.6213885545730591,XGBoost,temporal_strict,2
special_cnt,0.04288849979639053,XGBoost,temporal_strict,2
eq_cnt,0.0,XGBoost,temporal_strict,2
qm_cnt,0.0,XGBoost,temporal_strict,2
amp_cnt,0.0,XGBoost,temporal_strict,2
dot_cnt,1.2645643949508667,XGBoost,temporal_strict,2
dash_cnt,0.09743918478488922,XGBoost,temporal_strict,2
under_cnt,0.0,XGBoost,temporal_strict,2
letter_ratio,0.11300734430551529,XGBoost,temporal_strict,2
digit_ratio,0.13523364067077637,XGBoost,temporal_strict,2
spec_ratio,0.15383164584636688,XGBoost,temporal_strict,2
slash_cnt,0.0016077585751190782,XGBoost,temporal_strict,2
entropy,0.19351749122142792,XGBoost,temporal_strict,2
path_len,0.0017144670709967613,XGBoost,temporal_strict,2
query_len,0.0,XGBoost,temporal_strict,2
url_len,0.09742794185876846,XGBoost,temporal_strict,3
dom_len,0.14750738441944122,XGBoost,temporal_strict,3
is_ip,0.0,XGBoost,temporal_strict,3
tld_len,1.2551170587539673,XGBoost,temporal_strict,3
subdom_cnt,0.355106383562088,XGBoost,temporal_strict,3
letter_cnt,0.1463964283466339,XGBoost,temporal_strict,3
digit_cnt,0.5895242094993591,XGBoost,temporal_strict,3
special_cnt,0.04609481245279312,XGBoost,temporal_strict,3
eq_cnt,0.0,XGBoost,temporal_strict,3
qm_cnt,0.0,XGBoost,temporal_strict,3
amp_cnt,0.0,XGBoost,temporal_strict,3
dot_cnt,1.3184239864349365,XGBoost,temporal_strict,3
dash_cnt,0.10344071686267853,XGBoost,temporal_strict,3
under_cnt,0.0,XGBoost,temporal_strict,3
letter_ratio,0.1325429379940033,XGBoost,temporal_strict,3
digit_ratio,0.11521857231855392,XGBoost,temporal_strict,3
spec_ratio,0.13801570236682892,XGBoost,temporal_strict,3
slash_cnt,0.0014605080941691995,XGBoost,temporal_strict,3
entropy,0.2040131539106369,XGBoost,temporal_strict,3
path_len,0.0021289277356117964,XGBoost,temporal_strict,3
query_len,0.0,XGBoost,temporal_strict,3
url_len,0.1313890963792801,XGBoost,temporal_strict,4
dom_len,0.1694508045911789,XGBoost,temporal_strict,4
is_ip,0.0,XGBoost,temporal_strict,4
tld_len,1.32582426071167,XGBoost,temporal_strict,4
subdom_cnt,0.37978091835975647,XGBoost,temporal_strict,4
letter_cnt,0.11508432030677795,XGBoost,temporal_strict,4
digit_cnt,0.6309943795204163,XGBoost,temporal_strict,4
special_cnt,0.04586693271994591,XGBoost,temporal_strict,4
eq_cnt,0.0,XGBoost,temporal_strict,4
qm_cnt,0.0,XGBoost,temporal_strict,4
amp_cnt,0.0,XGBoost,temporal_strict,4
dot_cnt,1.3964639902114868,XGBoost,temporal_strict,4
dash_cnt,0.1011156365275383,XGBoost,temporal_strict,4
under_cnt,0.0,XGBoost,temporal_strict,4
letter_ratio,0.15482959151268005,XGBoost,temporal_strict,4
digit_ratio,0.10813401639461517,XGBoost,temporal_strict,4
spec_ratio,0.13220037519931793,XGBoost,temporal_strict,4
slash_cnt,0.00016204015992116183,XGBoost,temporal_strict,4
entropy,0.20786422491073608,XGBoost,temporal_strict,4
path_len,0.0008159626740962267,XGBoost,temporal_strict,4
query_len,0.0,XGBoost,temporal_strict,4
