vid,url,machine_verdict,signal,snapshot
V0042,www.garenamembervipfreefire2021.com,unsure,no-signal,https://web.archive.org/web/20211205062747/http://www.garenamembervipfreefire2021.com
V0043,napquare.com,unsure,no-content,https://web.archive.org/web/20211219003712/http://napquare.com
V0044,www.eg0084.com,unsure,no-content,
V0045,chanle96.net,scam,gambling-text,https://web.archive.org/web/20211129114736/http://chanle96.net
V0046,motcuadientu.backan.gov.vn,phishing,credential-input,https://web.archive.org/web/20220610105919/http://motcuadientu.backan.gov.vn
V0047,www.amazon.amrsd.com,unsure,no-content,https://web.archive.org/web/20230322115505/http://www.amazon.amrsd.com
V0048,sotttt.caobang.gov.vn,legitimate,registry,https://web.archive.org/web/20130622085942/http://sotttt.caobang.gov.vn
V0049,hkpshopee.com,unsure,no-content,https://web.archive.org/web/20230128173957/http://hkpshopee.com
V0050,v7bom.com,unsure,no-content,
V0051,congluan.vn,unsure,no-signal,https://web.archive.org/web/20090702035007/http://congluan.vn
V0052,0fzj64.cn,unsure,no-signal,https://web.archive.org/web/20230215020857/http://0fzj64.cn
V0053,hosting.net.np,unsure,no-signal,https://web.archive.org/web/20230607105330/http://hosting.net.np
V0054,haugiang.baohiemxahoi.gov.vn,legitimate,registry,https://web.archive.org/web/20200404070831/http://haugiang.baohiemxahoi.gov.vn
V0055,chithao.quanghoa.caobang.gov.vn,legitimate,registry,https://web.archive.org/web/20231004091815/http://chithao.quanghoa.caobang.gov.vn
V0056,now.vn,unsure,no-signal,https://web.archive.org/web/20071203014130/http://now.vn
V0057,vnembassy-copenhagen.mofa.gov.vn,legitimate,registry,https://web.archive.org/web/20170629202901/http://vnembassy-copenhagen.mofa.gov.vn
V0058,denisland.com,phishing,credential-input,https://web.archive.org/web/20230209031337/http://denisland.com
V0059,ubmttq.hochiminhcity.gov.vn,legitimate,registry,https://web.archive.org/web/20070208014042/http://ubmttq.hochiminhcity.gov.vn
V0060,vdvbnhg6y.com,unsure,no-content,
V0061,www.gamesaba.com,unsure,no-signal,https://web.archive.org/web/20211203222011/http://www.gamesaba.com
V0062,ffmenberzship-garena.com,unsure,no-signal,https://web.archive.org/web/20211130234810/http://ffmenberzship-garena.com
V0063,www.vn-tss.top,unsure,no-content,
V0064,www.coopmart1.com,unsure,no-content,
V0065,756lux.com,unsure,no-content,
V0066,www.dienmayxanhantam.com,phishing,credential-input,https://web.archive.org/web/20230213221952/http://www.dienmayxanhantam.com
V0067,eso-community.net,unsure,no-signal,https://web.archive.org/web/20150330042251/http://eso-community.net
V0068,asp7890.com,unsure,no-signal,https://web.archive.org/web/20230307011737/http://asp7890.com
V0069,vlute.edu.vn,unsure,no-signal,https://web.archive.org/web/20090831142050/http://vlute.edu.vn
V0070,www.napkimcuong234.com,unsure,no-content,https://web.archive.org/web/20230925175407/http://www.napkimcuong234.com
V0071,thcsttcatba.haiphong.edu.vn,legitimate,registry,https://web.archive.org/web/20231122053556/http://thcsttcatba.haiphong.edu.vn
V0072,nilssonlee.se,unsure,no-signal,https://web.archive.org/web/20100228231343/http://nilssonlee.se
V0073,nasd8129.com,unsure,no-content,https://web.archive.org/web/20230213204509/http://nasd8129.com
V0074,stp.quangngai.gov.vn,legitimate,registry,https://web.archive.org/web/20110926155003/http://stp.quangngai.gov.vn
V0075,chanlemomo.online,phishing,credential-text,https://web.archive.org/web/20211129114740/http://chanlemomo.online
V0076,zim.vn,unsure,no-signal,https://web.archive.org/web/20091011064636/http://zim.vn
V0077,alicdn.com,phishing,credential-input,https://web.archive.org/web/20090209043047/http://alicdn.com
V0078,www.sd1662.xyz,unsure,no-content,
V0079,xoso456go.com,unsure,no-content,
V0080,b221c.com,unsure,no-content,
V0081,shopthureview.com,phishing,credential-text,https://web.archive.org/web/20230120201341/http://shopthureview.com
V0082,huongvinh.thuathienhue.gov.vn,legitimate,registry,https://web.archive.org/web/20190923063046/http://huongvinh.thuathienhue.gov.vn
V0083,www.shopadcoriff2023.tk,unsure,no-signal,https://web.archive.org/web/20230725190315/http://www.shopadcoriff2023.tk
V0084,www.wnojnwy.cn,unsure,no-content,
V0085,www.mpos-quetthevn.com,phishing,credential-input,https://web.archive.org/web/20220919092626/http://www.mpos-quetthevn.com
V0086,sd1695.xyz,unsure,no-content,
V0087,www.hi88.vin,scam,gambling-text,https://web.archive.org/web/20221003022441/http://www.hi88.vin
V0088,gream.ltd,unsure,no-content,
V0089,www.dream-666.com,unsure,no-content,
V0090,valesgratis.com,unsure,no-content,https://web.archive.org/web/20240324042451/http://valesgratis.com
V0091,www.vizonegeek.com,unsure,no-signal,https://web.archive.org/web/20151018164215/http://www.vizonegeek.com
V0092,gskygo.com,phishing,credential-text,https://web.archive.org/web/20210921104852/http://gskygo.com
V0093,www.king07.xyz,unsure,no-content,https://web.archive.org/web/20230330133846/http://www.king07.xyz
V0094,www.aschumsseafoodab.com,unsure,no-signal,https://web.archive.org/web/20190820140737/http://www.aschumsseafoodab.com
V0095,www.xfnyzz.com,unsure,no-signal,https://web.archive.org/web/20240306231833/http://www.xfnyzz.com
V0096,smrt.biddv.com,unsure,no-content,
V0097,www.las53.com,unsure,no-signal,https://web.archive.org/web/20141217162526/http://www.las53.com
V0098,ysmteam.com,unsure,no-content,
V0099,www.moonlive.asia,unsure,no-signal,https://web.archive.org/web/20211019181047/http://www.moonlive.asia
V0100,vn88.ai,phishing,credential-text,https://web.archive.org/web/20210604215358/http://vn88.ai
V0101,www.chongluadao.com,unsure,no-signal,https://web.archive.org/web/20130817063435/http://www.chongluadao.com
V0102,vitemac.com,unsure,no-signal,https://web.archive.org/web/20221005061403/http://vitemac.com
V0103,goldencollections.net,phishing,credential-input,https://web.archive.org/web/20210918151420/http://goldencollections.net
V0104,jdpic.bar,unsure,no-content,
V0105,www.rent-my-tesla.de,unsure,no-signal,https://web.archive.org/web/20160317091107/http://www.rent-my-tesla.de
V0106,www.vpnsasr.com,unsure,no-content,
V0107,ozio.tw,unsure,no-signal,https://web.archive.org/web/20160912013444/http://ozio.tw
V0108,tikione.vip,unsure,no-signal,https://web.archive.org/web/20241116011713/http://tikione.vip
V0109,vn-sg.club,unsure,no-content,
V0110,mjh28.com,unsure,no-content,
V0111,tamdiep.ninhbinh.gov.vn,legitimate,registry,https://web.archive.org/web/20140706191515/http://tamdiep.ninhbinh.gov.vn
V0112,www.etyuss.cn,unsure,no-signal,https://web.archive.org/web/20230302024244/http://www.etyuss.cn
V0113,myleague.vn,phishing,credential-text,https://web.archive.org/web/20201124005027/http://myleague.vn
V0114,bfgoodrich.vn,unsure,no-signal,https://web.archive.org/web/20200806192312/http://bfgoodrich.vn
V0115,www.oo567.live,unsure,no-signal,https://web.archive.org/web/20211220063702/http://www.oo567.live
V0116,http://dawnhollow.life/,unsure,no-content,
V0117,ratuliga-ayah.site,unsure,no-content,
V0118,www.i-goda.shop,phishing,credential-input,https://web.archive.org/web/20220524141622/http://www.i-goda.shop
V0119,www.knotcriterion.top,unsure,no-content,
V0120,vitructuyen24-7.com,unsure,no-content,
V0121,nemotech.ru,unsure,no-content,
V0122,clmm.win,unsure,no-content,https://web.archive.org/web/20230218034424/http://clmm.win
V0123,www.torzilla.de,unsure,no-signal,https://web.archive.org/web/20130509133359/http://www.torzilla.de
V0124,xoso9988.com,unsure,no-signal,https://web.archive.org/web/20220211032046/http://xoso9988.com
V0125,www.qerdxm.com,unsure,no-content,
V0126,uscloudminer.com,phishing,credential-input,https://web.archive.org/web/20221101020234/http://uscloudminer.com
V0127,sd9772.xyz,unsure,no-content,
V0128,myshopify.com,unsure,no-content,https://web.archive.org/web/20060702023505/http://myshopify.com
V0129,nhankhuyenmai.store,unsure,no-signal,https://web.archive.org/web/20230213204252/http://nhankhuyenmai.store
V0130,lisboa17.com,unsure,no-content,
V0131,http://url7124.clearsoundpros.com/ls/click?upn=u001.3QAd2q-2FG8feWXojRZPX4-2Fd3xZx3XuwJjI9K8KbnPJ6LghHSlcNc6GWyqqv3Yj-2FGfGSnh5hiNRWkiT4q5xZMOG6YKlE9YSggb9VMudwBIzeYjFrV9sy8oQMCytLP5H36jEPe4_68If7Fl9L82gxlPCx3BxLyJ9f56UgQ17ThlNAXrS0Xp8rIpTrB2DpRwcp6gqIQLMd-2BRsrfpvyxvTnevc2blo5rYRloIVaDQqmFj4ihy3VN4nGFG07v9AjFpXmKLrjOgwV-2Fuso6hk3bHRua5zJIgjjy3AqWV3blwwIkYJ3dh-2FnxNMD-2BfBQNSh28DG20UadS7QnO0O7wmPf2Pymju1Ykh8WA-3D-3D,unsure,no-content,
V0132,www.odlive03.com,unsure,no-content,https://web.archive.org/web/20211218151216/http://www.odlive03.com
V0133,www.ngocrongonline.com,phishing,credential-text,https://web.archive.org/web/20131126123411/http://www.ngocrongonline.com
V0134,www.24d.live,unsure,no-signal,https://web.archive.org/web/20211123150351/http://www.24d.live
V0135,www.luckyfame78.com,unsure,no-content,
V0136,mail.az,unsure,no-signal,https://web.archive.org/web/20000817093447/http://mail.az
V0137,momovouchers.weebly.com,unsure,no-content,https://web.archive.org/web/20251115235922/http://momovouchers.weebly.com
V0138,sailportal.it,unsure,no-signal,https://web.archive.org/web/20230921181404/http://sailportal.it
V0139,tancangwarehousing.com.vn,unsure,no-signal,https://web.archive.org/web/20130927092946/http://tancangwarehousing.com.vn
V0140,cayvang.vn,phishing,credential-text,https://web.archive.org/web/20240119115445/http://cayvang.vn
V0141,pronovafield.se,unsure,no-content,
V0142,www.sukientriankhachhang2021.com,unsure,no-content,
V0143,mnlythaito.haiphong.edu.vn,legitimate,registry,https://web.archive.org/web/20230405075600/http://mnlythaito.haiphong.edu.vn
V0144,gplxgov.org,unsure,no-signal,https://web.archive.org/web/20250322073625/http://gplxgov.org
V0145,ibiblioteka.lt,unsure,no-signal,https://web.archive.org/web/20120109163440/http://ibiblioteka.lt
V0146,goshopee.net,unsure,no-signal,https://web.archive.org/web/20211206004538/http://goshopee.net
V0147,mndongtam.haiphong.edu.vn,legitimate,registry,https://web.archive.org/web/20230405082631/http://mndongtam.haiphong.edu.vn
V0148,www.eurowin.top,phishing,credential-input,https://web.archive.org/web/20210619030942/http://www.eurowin.top
V0149,vnskills.edu.vn,legitimate,registry,https://web.archive.org/web/20170812042518/http://vnskills.edu.vn
V0150,sd9490.xyz,unsure,no-content,
V0151,phuonglocson.baoloc.lamdong.gov.vn,legitimate,registry,https://web.archive.org/web/20240911062121/http://phuonglocson.baoloc.lamdong.gov.vn
V0152,catholic-forum.com,unsure,no-signal,https://web.archive.org/web/19971222002633/http://catholic-forum.com
V0153,napffx10.com,phishing,credential-input,https://web.archive.org/web/20220409085010/http://napffx10.com
V0154,napkimcuongff2022.com,unsure,no-content,
V0155,hdndbinhduong.vn,legitimate,registry,https://web.archive.org/web/20201031074138/http://hdndbinhduong.vn
V0156,bambooairlines.com.vn,unsure,no-signal,https://web.archive.org/web/20210506064644/http://bambooairlines.com.vn
V0157,www.hkdbitexchange.com,unsure,no-content,
V0158,www.nbnmining14.com,unsure,no-signal,https://web.archive.org/web/20230330120657/http://www.nbnmining14.com
V0159,www.vn-iy.life,unsure,no-content,
V0160,www.7cybgbw.cfd,unsure,no-content,
V0161,senooee.com,unsure,no-signal,https://web.archive.org/web/20240321151238/http://senooee.com
V0162,mekongasean.vn,unsure,no-signal,https://web.archive.org/web/20220518041919/http://mekongasean.vn
V0163,pink.rs,phishing,credential-text,https://web.archive.org/web/20081228035656/http://pink.rs
V0164,www.vn924364shop.com,unsure,no-content,https://web.archive.org/web/20230303005028/http://www.vn924364shop.com
V0165,www.dhl888.net,unsure,no-content,
V0166,www.vaynganhangvn.com,unsure,no-content,
V0167,www.tianaicn.com,unsure,no-content,https://web.archive.org/web/20231110143731/http://www.tianaicn.com
V0168,www.vesovn.cc,unsure,no-signal,https://web.archive.org/web/20230315194556/http://www.vesovn.cc
V0169,accgameff.ga,unsure,no-signal,https://web.archive.org/web/20211124204443/http://accgameff.ga
V0170,www.lottemart.biz,unsure,no-signal,https://web.archive.org/web/20040201182237/http://www.lottemart.biz
V0171,quyhotro.com,unsure,no-signal,https://web.archive.org/web/20251111112437/http://quyhotro.com
V0172,securitytrails.com,unsure,no-content,https://web.archive.org/web/20221013013957/http://securitytrails.com
V0173,www.unlockgarena.com,phishing,credential-text,https://web.archive.org/web/20210222093635/http://www.unlockgarena.com
V0174,v12960.com,unsure,no-content,
V0175,dichvudienmay-xanh.online,unsure,no-signal,https://web.archive.org/web/20241005024225/http://dichvudienmay-xanh.online
V0176,www.sunvip.me,unsure,no-content,https://web.archive.org/web/20211226033900/http://www.sunvip.me
V0177,www.lienquanmobilevn.site,unsure,no-content,https://web.archive.org/web/20230316044843/http://www.lienquanmobilevn.site
V0178,vnembassy-jakarta.mofa.gov.vn,legitimate,registry,https://web.archive.org/web/20170705172249/http://vnembassy-jakarta.mofa.gov.vn
V0179,garena.mobi,unsure,no-signal,https://web.archive.org/web/20210506191306/http://garena.mobi
V0180,www.newfastloan.cc,unsure,no-content,
V0181,nbnmining14.com,unsure,no-signal,https://web.archive.org/web/20230330120657/http://nbnmining14.com
V0182,mcfhog.id,unsure,no-content,
V0183,dienmayxanh-dichvu.com,unsure,no-signal,https://web.archive.org/web/20211128122112/http://dienmayxanh-dichvu.com
V0184,support-findmyphone.com,unsure,no-signal,https://web.archive.org/web/20180806164745/http://support-findmyphone.com
V0185,hongbienduongpho.com.vn,unsure,no-content,
V0186,mnthuchanhkienan.haiphong.edu.vn,legitimate,registry,https://web.archive.org/web/20230405100220/http://mnthuchanhkienan.haiphong.edu.vn
V0187,game.v99.mobi,scam,gambling-text,https://web.archive.org/web/20231012043427/http://game.v99.mobi
V0188,xvbwmht.cn,unsure,no-content,
V0189,www.twin968.com,unsure,no-signal,https://web.archive.org/web/20211227055914/http://www.twin968.com
V0190,meta88.com,phishing,credential-input,https://web.archive.org/web/20220120131710/http://meta88.com
V0191,www.dtkgam.com,phishing,credential-input,https://web.archive.org/web/20210222115945/http://www.dtkgam.com
V0192,lamson.ngoclac.thanhhoa.gov.vn,legitimate,registry,https://web.archive.org/web/20171103194239/http://lamson.ngoclac.thanhhoa.gov.vn
V0193,www.vsdfdad.icu,unsure,no-content,
V0194,petrosains.com.my,unsure,no-content,https://web.archive.org/web/20011026095302/http://petrosains.com.my
V0195,jsagb87672.info,unsure,no-content,
V0196,benxehoabinh.com.vn,legitimate,registry,https://web.archive.org/web/20180910142008/http://benxehoabinh.com.vn
V0197,lovelive-app.com,unsure,no-content,
V0198,binh-chonthang7.weebly.com,unsure,no-content,
V0199,www.vaylientay79.com,unsure,no-content,
