vid,url,verdict,evidence
V0059,ubmttq.hochiminhcity.gov.vn,legitimate,archive
V0060,vdvbnhg6y.com,phishing,urlscan
V0061,www.gamesaba.com,scam,urlscan
V0062,ffmenberzship-garena.com,scam,name
V0063,www.vn-tss.top,unsure,none
V0064,www.coopmart1.com,scam,name
V0065,756lux.com,unsure,none
V0066,www.dienmayxanhantam.com,legitimate,archive
V0067,eso-community.net,legitimate,archive
V0068,asp7890.com,phishing,urlscan
V0069,vlute.edu.vn,legitimate,archive
V0070,www.napkimcuong234.com,scam,urlscan
V0071,thcsttcatba.haiphong.edu.vn,legitimate,archive
V0072,nilssonlee.se,legitimate,archive
V0073,nasd8129.com,unsure,none
V0074,stp.quangngai.gov.vn,legitimate,archive
V0075,chanlemomo.online,scam,archive
V0076,zim.vn,legitimate,urlscan
V0077,alicdn.com,legitimate,archive
V0078,www.sd1662.xyz,scam,urlscan
V0079,xoso456go.com,unsure,none
V0080,b221c.com,scam,urlscan
V0081,shopthureview.com,scam,urlscan
V0082,huongvinh.thuathienhue.gov.vn,legitimate,archive
V0083,www.shopadcoriff2023.tk,scam,urlscan
V0084,www.wnojnwy.cn,unsure,none
V0085,www.mpos-quetthevn.com,scam,archive
V0086,sd1695.xyz,scam,urlscan
V0087,www.hi88.vin,scam,capture
V0088,gream.ltd,unsure,none
V0089,www.dream-666.com,unsure,none
V0090,valesgratis.com,unsure,none
V0091,www.vizonegeek.com,phishing,urlscan
V0092,gskygo.com,legitimate,archive
V0093,www.king07.xyz,phishing,urlscan
V0094,www.aschumsseafoodab.com,legitimate,archive
V0095,www.xfnyzz.com,legitimate,archive
V0096,smrt.biddv.com,phishing,name
V0097,www.las53.com,unsure,none
V0098,ysmteam.com,scam,urlscan
V0099,www.moonlive.asia,scam,archive
V0100,vn88.ai,scam,archive
V0101,www.chongluadao.com,unsure,none
V0102,vitemac.com,phishing,urlscan
V0103,goldencollections.net,legitimate,urlscan
V0104,jdpic.bar,unsure,none
V0105,www.rent-my-tesla.de,legitimate,archive
V0106,www.vpnsasr.com,unsure,none
V0107,ozio.tw,legitimate,archive
V0108,tikione.vip,phishing,name
V0109,vn-sg.club,unsure,none
V0110,mjh28.com,unsure,none
V0111,tamdiep.ninhbinh.gov.vn,legitimate,capture
V0112,www.etyuss.cn,legitimate,archive
V0113,myleague.vn,legitimate,archive
V0114,bfgoodrich.vn,legitimate,archive
V0115,www.oo567.live,scam,archive
V0116,http://dawnhollow.life/,unsure,none
V0117,ratuliga-ayah.site,unsure,none
V0118,www.i-goda.shop,phishing,archive
V0119,www.knotcriterion.top,unsure,none
V0120,vitructuyen24-7.com,phishing,capture
V0121,nemotech.ru,unsure,none
V0122,clmm.win,unsure,none
V0123,www.torzilla.de,legitimate,archive
V0124,xoso9988.com,scam,urlscan
V0125,www.qerdxm.com,unsure,none
V0126,uscloudminer.com,scam,archive
V0127,sd9772.xyz,scam,urlscan
V0128,myshopify.com,unsure,none
V0129,nhankhuyenmai.store,scam,urlscan
V0130,lisboa17.com,scam,urlscan
V0131,http://url7124.clearsoundpros.com/ls/click?upn=u001.3QAd2q-2FG8feWXojRZPX4-2Fd3xZx3XuwJjI9K8KbnPJ6LghHSlcNc6GWyqqv3Yj-2FGfGSnh5hiNRWkiT4q5xZMOG6YKlE9YSggb9VMudwBIzeYjFrV9sy8oQMCytLP5H36jEPe4_68If7Fl9L82gxlPCx3BxLyJ9f56UgQ17ThlNAXrS0Xp8rIpTrB2DpRwcp6gqIQLMd-2BRsrfpvyxvTnevc2blo5rYRloIVaDQqmFj4ihy3VN4nGFG07v9AjFpXmKLrjOgwV-2Fuso6hk3bHRua5zJIgjjy3AqWV3blwwIkYJ3dh-2FnxNMD-2BfBQNSh28DG20UadS7QnO0O7wmPf2Pymju1Ykh8WA-3D-3D,phishing,urlscan
V0132,www.odlive03.com,unsure,none
V0133,www.ngocrongonline.com,legitimate,archive
V0134,www.24d.live,scam,archive
V0135,www.luckyfame78.com,scam,urlscan
V0136,mail.az,phishing,archive
V0137,momovouchers.weebly.com,phishing,name
V0138,sailportal.it,legitimate,urlscan
V0139,tancangwarehousing.com.vn,legitimate,archive
V0140,cayvang.vn,scam,archive
V0141,pronovafield.se,unsure,none
V0142,www.sukientriankhachhang2021.com,unsure,none
V0143,mnlythaito.haiphong.edu.vn,legitimate,capture
V0144,gplxgov.org,legitimate,archive
V0145,ibiblioteka.lt,legitimate,archive
V0146,goshopee.net,phishing,name
V0147,mndongtam.haiphong.edu.vn,legitimate,capture
V0148,www.eurowin.top,scam,archive
V0149,vnskills.edu.vn,legitimate,registry
V0150,sd9490.xyz,scam,urlscan
V0151,phuonglocson.baoloc.lamdong.gov.vn,legitimate,archive
V0152,catholic-forum.com,legitimate,archive
V0153,napffx10.com,scam,archive
V0154,napkimcuongff2022.com,scam,name
V0155,hdndbinhduong.vn,legitimate,archive
V0156,bambooairlines.com.vn,legitimate,archive
V0157,www.hkdbitexchange.com,scam,urlscan
V0158,www.nbnmining14.com,scam,urlscan
V0159,www.vn-iy.life,unsure,none
V0160,www.7cybgbw.cfd,unsure,none
V0161,senooee.com,legitimate,archive
V0162,mekongasean.vn,legitimate,archive
V0163,pink.rs,legitimate,archive
V0164,www.vn924364shop.com,phishing,urlscan
V0165,www.dhl888.net,phishing,urlscan
V0166,www.vaynganhangvn.com,unsure,none
V0167,www.tianaicn.com,phishing,urlscan
V0168,www.vesovn.cc,scam,urlscan
V0169,accgameff.ga,scam,name
V0170,www.lottemart.biz,scam,urlscan
V0171,quyhotro.com,unsure,none
V0172,securitytrails.com,legitimate,archive
V0173,www.unlockgarena.com,scam,archive
V0174,v12960.com,unsure,none
V0175,dichvudienmay-xanh.online,scam,name
V0176,www.sunvip.me,scam,urlscan
V0177,www.lienquanmobilevn.site,scam,urlscan
V0178,vnembassy-jakarta.mofa.gov.vn,legitimate,urlscan
V0179,garena.mobi,scam,urlscan
V0180,www.newfastloan.cc,unsure,none
V0181,nbnmining14.com,scam,urlscan
V0182,mcfhog.id,unsure,none
V0183,dienmayxanh-dichvu.com,scam,name
V0184,support-findmyphone.com,unsure,none
V0185,hongbienduongpho.com.vn,unsure,none
V0186,mnthuchanhkienan.haiphong.edu.vn,legitimate,capture
V0187,game.v99.mobi,scam,archive
V0188,xvbwmht.cn,scam,urlscan
V0189,www.twin968.com,scam,archive
V0190,meta88.com,phishing,archive
V0191,www.dtkgam.com,scam,archive
V0192,lamson.ngoclac.thanhhoa.gov.vn,legitimate,archive
V0193,www.vsdfdad.icu,scam,urlscan
V0194,petrosains.com.my,legitimate,urlscan
V0195,jsagb87672.info,unsure,none
V0196,benxehoabinh.com.vn,legitimate,archive
V0197,lovelive-app.com,phishing,urlscan
V0198,binh-chonthang7.weebly.com,unsure,none
V0199,www.vaylientay79.com,scam,urlscan
