vid,url,verdict,evidence
V0131,http://url7124.clearsoundpros.com/ls/click?upn=u001.3QAd2q-2FG8feWXojRZPX4-2Fd3xZx3XuwJjI9K8KbnPJ6LghHSlcNc6GWyqqv3Yj-2FGfGSnh5hiNRWkiT4q5xZMOG6YKlE9YSggb9VMudwBIzeYjFrV9sy8oQMCytLP5H36jEPe4_68If7Fl9L82gxlPCx3BxLyJ9f56UgQ17ThlNAXrS0Xp8rIpTrB2DpRwcp6gqIQLMd-2BRsrfpvyxvTnevc2blo5rYRloIVaDQqmFj4ihy3VN4nGFG07v9AjFpXmKLrjOgwV-2Fuso6hk3bHRua5zJIgjjy3AqWV3blwwIkYJ3dh-2FnxNMD-2BfBQNSh28DG20UadS7QnO0O7wmPf2Pymju1Ykh8WA-3D-3D,,
V0132,www.odlive03.com,,
V0133,www.ngocrongonline.com,,
V0134,www.24d.live,,
V0135,www.luckyfame78.com,,
V0136,mail.az,,
V0137,momovouchers.weebly.com,,
V0138,sailportal.it,,
V0139,tancangwarehousing.com.vn,,
V0140,cayvang.vn,,
V0141,pronovafield.se,,
V0142,www.sukientriankhachhang2021.com,,
V0143,mnlythaito.haiphong.edu.vn,,
V0144,gplxgov.org,,
V0145,ibiblioteka.lt,,
V0146,goshopee.net,,
V0147,mndongtam.haiphong.edu.vn,,
V0148,www.eurowin.top,,
V0149,vnskills.edu.vn,,
V0150,sd9490.xyz,,
V0151,phuonglocson.baoloc.lamdong.gov.vn,,
V0152,catholic-forum.com,,
V0153,napffx10.com,,
V0154,napkimcuongff2022.com,,
V0155,hdndbinhduong.vn,,
V0156,bambooairlines.com.vn,,
V0157,www.hkdbitexchange.com,,
V0158,www.nbnmining14.com,,
V0159,www.vn-iy.life,,
V0160,www.7cybgbw.cfd,,
V0161,senooee.com,,
V0162,mekongasean.vn,,
V0163,pink.rs,,
V0164,www.vn924364shop.com,,
V0165,www.dhl888.net,,
V0166,www.vaynganhangvn.com,,
V0167,www.tianaicn.com,,
V0168,www.vesovn.cc,,
V0169,accgameff.ga,,
V0170,www.lottemart.biz,,
V0171,quyhotro.com,,
V0172,securitytrails.com,,
V0173,www.unlockgarena.com,,
V0174,v12960.com,,
V0175,dichvudienmay-xanh.online,,
V0176,www.sunvip.me,,
V0177,www.lienquanmobilevn.site,,
V0178,vnembassy-jakarta.mofa.gov.vn,,
V0179,garena.mobi,,
V0180,www.newfastloan.cc,,
V0181,nbnmining14.com,,
V0182,mcfhog.id,,
V0183,dienmayxanh-dichvu.com,,
V0184,support-findmyphone.com,,
V0185,hongbienduongpho.com.vn,,
V0186,mnthuchanhkienan.haiphong.edu.vn,,
V0187,game.v99.mobi,,
V0188,xvbwmht.cn,,
V0189,www.twin968.com,,
V0190,meta88.com,,
V0191,www.dtkgam.com,,
V0192,lamson.ngoclac.thanhhoa.gov.vn,,
V0193,www.vsdfdad.icu,,
V0194,petrosains.com.my,,
V0195,jsagb87672.info,,
V0196,benxehoabinh.com.vn,,
V0197,lovelive-app.com,,
V0198,binh-chonthang7.weebly.com,,
V0199,www.vaylientay79.com,,
