vid,url,final_verdict,final_evidence,rationale
V0105,www.rent-my-tesla.de,legitimate,archive,"Archived pages show a real Tesla-rental business in Wiesbaden, Germany — real operator."
V0114,bfgoodrich.vn,legitimate,archive,Archived pages show the official BFGoodrich Vietnam site — real operator.
V0128,myshopify.com,unsure,none,Wayback empty and the urlscan capture is an error page — unresolved.
V0131,http://url7124.clearsoundpros.com/ls/click?upn=u001.3QAd2q-2FG8feWXojRZPX4-2Fd3xZx3XuwJjI9K8KbnPJ6LghHSlcNc6GWyqqv3Yj-2FGfGSnh5hiNRWkiT4q5xZMOG6YKlE9YSggb9VMudwBIzeYjFrV9sy8oQMCytLP5H36jEPe4_68If7Fl9L82gxlPCx3BxLyJ9f56UgQ17ThlNAXrS0Xp8rIpTrB2DpRwcp6gqIQLMd-2BRsrfpvyxvTnevc2blo5rYRloIVaDQqmFj4ihy3VN4nGFG07v9AjFpXmKLrjOgwV-2Fuso6hk3bHRua5zJIgjjy3AqWV3blwwIkYJ3dh-2FnxNMD-2BfBQNSh28DG20UadS7QnO0O7wmPf2Pymju1Ykh8WA-3D-3D,unsure,none,The listed URL is a SendGrid click-tracking redirect whose destination is unrecoverable; urlscan shows only a human-verification interstitial — unresolved.
V0137,momovouchers.weebly.com,phishing,name,'momovouchers' imitates the MoMo e-wallet brand with a voucher lure — no innocent reading.
V0138,sailportal.it,legitimate,urlscan,SailPortal is a real e-learning platform; urlscan shows its own service — feed error.
V0154,napkimcuongff2022.com,unsure,none,urlscan capture shows an empty page; the Free Fire top-up name is suggestive but not unambiguous under the codebook — unresolved.
V0166,www.vaynganhangvn.com,phishing,name,'vaynganhangvn' presents itself as a Vietnamese bank-lending service; judged a bank-service impersonation by name.
V0167,www.tianaicn.com,phishing,urlscan,urlscan shows a full login flow (sign-in / forgot password) — credential harvesting.
V0169,accgameff.ga,unsure,none,Wayback shows an empty page; the name is suggestive but not unambiguous — unresolved.
V0190,meta88.com,phishing,urlscan,urlscan shows a full login flow (sign-in / forgot password) — credential harvesting.
V0197,lovelive-app.com,phishing,urlscan,urlscan shows a full login flow (sign-in / forgot password) — credential harvesting.
V0005,854107.vip,phishing,urlscan,Credential phishing — login page impersonating Tiger777Bet (urlscan).
V0014,www.vnthanhnien.com,phishing,name,Domain imitates the Thanh Nien newspaper; urlscan shows a fake news site — impersonation outranks.
V0016,www.playtogether.com.vn,scam,urlscan,urlscan shows a game top-up/deposit site with no credential form — scam under the precedence rule.
V0024,www.sd9301.xyz,scam,urlscan,urlscan shows a game top-up/deposit site with no credential form — scam under the precedence rule.
V0032,khkempf.de,scam,archive,"Archived page shows a pirated-game site — abusive, nobody impersonated."
V0033,hi-go.org,phishing,urlscan,Fake login URL (urlscan) — credential harvesting.
V0052,0fzj64.cn,scam,urlscan,Storefront imitating Co.opmart without a credential form — counterfeit shop; scam under the codebook (impersonation without harvesting).
V0062,ffmenberzship-garena.com,phishing,name,Domain deliberately embeds 'garena' beside a deceptive 'ffmenberzship' token — Garena/Free Fire impersonation by name.
V0064,www.coopmart1.com,phishing,name,Name imitates Co.opmart ('coopmart1').
V0078,www.sd1662.xyz,scam,urlscan,urlscan shows a page branded 'Vatgia' that is not the real Vatgia marketplace and carries no credential form — scam.
V0086,sd1695.xyz,scam,urlscan,urlscan shows a page branded 'Vatgia' that is not the real Vatgia marketplace and carries no credential form — scam.
V0118,www.i-goda.shop,phishing,archive,Login page impersonating I-GODA; requests telephone number and password — credential phishing.
V0120,vitructuyen24-7.com,phishing,capture,Capture shows a fake login page harvesting user information.
V0127,sd9772.xyz,scam,urlscan,urlscan shows a page branded 'Vatgia' that is not the real Vatgia marketplace and carries no credential form — scam.
V0150,sd9490.xyz,phishing,urlscan,urlscan 2022 shows a site using VNP company imagery while not being that company — brand impersonation with a data-entry flow.
V0165,www.dhl888.net,scam,urlscan,urlscan 2022 shows a gambling site operating as itself; no credential harvesting.
V0170,www.lottemart.biz,phishing,name,Name imitates Lotte Mart.
V0175,dichvudienmay-xanh.online,phishing,name,Name imitates Dien May Xanh with a 'service' lure ('dichvudienmay-xanh').
V0177,www.lienquanmobilevn.site,phishing,urlscan,urlscan shows a login page harvesting game accounts behind a Lien Quan Mobile lure.
V0179,garena.mobi,phishing,name,'garena.mobi' imitates garena.com on an alternate TLD; judged by name after the urlscan-link correction.
V0183,dienmayxanh-dichvu.com,phishing,name,Name imitates Dien May Xanh ('dienmayxanh-dichvu').
V0188,xvbwmht.cn,phishing,urlscan,urlscan 2021 shows a Coca-Cola-imitating promotional page — brand impersonation.
