tld,n,n_phish,phish_rate,mean_shap_tld_len,fnr_phish@0.5
.cool,3,3,1.0,1.38717,0.0
.lg.jp,2,0,0.0,-0.55663,
.gov.uk,2,0,0.0,-1.76549,
.gov.za,2,0,0.0,-1.77215,
.navy,2,2,1.0,1.24741,0.0
.ac.jp,2,0,0.0,-0.65847,
.uk,2,0,0.0,-0.80436,
.dk,2,0,0.0,-0.20252,
.help,2,2,1.0,1.80033,0.0
.group,2,1,0.5,0.08815,0.0
.plus,2,1,0.5,1.77861,0.0
.ma,2,0,0.0,-0.60929,
.ci,2,0,0.0,-0.63077,
.video,2,1,0.5,0.23556,0.0
.wine,2,1,0.5,1.45615,0.0
.cf,2,2,1.0,-0.71966,1.0
.is,2,0,0.0,-0.47807,
.loan,2,2,1.0,1.35773,0.0
.org.uk,2,0,0.0,-1.85928,
.digital,2,2,1.0,-0.05697,0.0
.game,2,2,1.0,1.2995,0.5
.sc.gov.br,2,0,0.0,-2.60864,
.com.tr,2,0,0.0,-1.86027,
.com.my,2,0,0.0,-1.95953,
.com.mx,2,1,0.5,-1.93483,1.0
.su,2,0,0.0,-0.50996,
.ga,2,2,1.0,-0.97704,0.5
.team,2,1,0.5,1.82863,0.0
.net.cn,2,1,0.5,-1.84758,1.0
.today,2,1,0.5,0.27003,0.0
.edu.pk,2,0,0.0,-1.93674,
.com.tw,2,0,0.0,-1.91849,
.games,2,1,0.5,0.10672,0.0
.se,2,0,0.0,-0.52609,
.travel,2,0,0.0,-0.73548,
.rs,2,0,0.0,-0.51251,
.gov.br,2,0,0.0,-1.90709,
.gov.bd,2,0,0.0,-1.91079,
.ski,2,2,1.0,0.72172,0.5
.edu.ar,2,0,0.0,-2.14507,
.gov.ar,2,0,0.0,-1.90786,
.google,2,0,0.0,-0.22529,
.gob.pe,2,0,0.0,-2.12822,
.design,2,1,0.5,-0.34052,0.0
.gob.cl,2,0,0.0,-1.84873,
.wtf,1,0,0.0,0.76041,
.or.jp,1,0,0.0,-0.6396,
.systems,1,0,0.0,-0.3421,
.st,1,0,0.0,-0.33803,
.org.br,1,0,0.0,-1.66301,
.ws,1,0,0.0,-0.6749,
.re,1,0,0.0,-0.34973,
.on.ca,1,0,0.0,-0.88657,
.om,1,0,0.0,-0.91425,
.now,1,0,0.0,0.71704,
.notaires.fr,1,0,0.0,-1.34383,
.xxx,1,0,0.0,0.72403,
.technology,1,0,0.0,-2.44966,
.tips,1,0,0.0,1.6406,
.ninja,1,0,0.0,0.35265,
.nic.in,1,0,0.0,-1.84279,
.ngo,1,1,1.0,0.68965,1.0
.tools,1,0,0.0,0.47974,
.shopping,1,1,1.0,-1.4983,0.0
.wiki,1,0,0.0,1.60956,
.sk,1,0,0.0,-0.48579,
.pub,1,1,1.0,0.68965,1.0
.ua,1,0,0.0,-0.93101,
.run,1,0,0.0,0.70092,
.press,1,1,1.0,-0.01527,0.0
.pk,1,0,0.0,-0.95344,
.pics,1,1,1.0,1.48458,0.0
.vegas,1,1,1.0,0.06033,0.0
.versicherung,1,0,0.0,-1.96789,
.ph,1,0,0.0,-0.25842,
.se.gov.br,1,0,0.0,-2.94148,
.services,1,0,0.0,-1.04438,
.party,1,1,1.0,0.45768,0.0
.sh,1,0,0.0,-0.23875,
.vn.ua,1,0,0.0,-0.46463,
.voto,1,1,1.0,1.36337,0.0
.page,1,0,0.0,1.56388,
.quest,1,1,1.0,0.06033,0.0
.org.ua,1,0,0.0,-1.98765,
.org.cn,1,0,0.0,-1.88862,
.si,1,0,0.0,-0.48579,
.watch,1,0,0.0,-0.06739,
.nexus,1,0,0.0,0.04946,
.ac,1,1,1.0,-0.55214,1.0
.net.au,1,0,0.0,-1.9592,
.co.th,1,1,1.0,-0.88239,1.0
.com.cu,1,0,0.0,-1.86124,
.com.do,1,0,0.0,-1.77305,
.com.mu,1,1,1.0,-2.03996,1.0
.company,1,1,1.0,-0.14981,0.0
.credit,1,1,1.0,-0.2392,0.0
.desi,1,0,0.0,1.5611,
.dm,1,0,0.0,-0.61169,
.edu.au,1,0,0.0,-2.16289,
.edu.bt,1,0,0.0,-2.34652,
.edu.in,1,0,0.0,-1.72212,
.edu.kz,1,0,0.0,-2.32994,
.edu.mx,1,0,0.0,-1.71115,
.edu.my,1,0,0.0,-2.05331,
.edu.np,1,0,0.0,-1.68261,
.edu.tw,1,0,0.0,-2.51172,
.ee,1,0,0.0,-0.81343,
.engineering,1,0,0.0,-1.20355,
.eus,1,0,0.0,0.68965,
.expert,1,1,1.0,-1.94481,0.0
.com.co,1,1,1.0,-1.85986,1.0
.co.nz,1,0,0.0,-0.42029,
.fan,1,1,1.0,0.68965,1.0
.co.mz,1,0,0.0,-0.31383,
.al.gov.br,1,0,0.0,-3.12483,
.au,1,0,0.0,-0.78716,
.az,1,0,0.0,-0.68997,
.ba.gov.br,1,0,0.0,-2.60502,
.baby,1,1,1.0,1.50508,0.0
.barcelona,1,0,0.0,-0.4904,
.bayern,1,0,0.0,-0.60653,
.beauty,1,1,1.0,-0.18684,0.0
.beer,1,1,1.0,1.48458,0.0
.bg,1,0,0.0,-0.25842,
.boats,1,1,1.0,0.06033,0.0
.br,1,0,0.0,-0.77586,
.broker,1,1,1.0,-0.89177,1.0
.bz,1,0,0.0,-0.93943,
.cafe,1,1,1.0,1.48458,0.0
.chat,1,0,0.0,1.2263,
.city,1,1,1.0,1.51177,0.0
.co.id,1,1,1.0,-0.8764,1.0
.co.ke,1,0,0.0,-0.41731,
.family,1,0,0.0,-0.50987,
.fashion,1,1,1.0,0.16774,0.0
.net.ar,1,0,0.0,-1.88862,
.hr,1,0,0.0,-0.6243,
.im,1,1,1.0,-0.15349,1.0
.institute,1,0,0.0,-0.75435,
.jus.br,1,0,0.0,-2.34652,
.kr,1,0,0.0,-0.81883,
.la,1,1,1.0,-0.34973,1.0
.land,1,0,0.0,1.48458,
.lv,1,0,0.0,-0.81883,
.ly,1,0,0.0,-0.72817,
.markets,1,1,1.0,-0.33967,0.0
.mc,1,0,0.0,-0.15349,
.media,1,0,0.0,0.04946,
.meet,1,0,0.0,1.0066,
.men,1,0,0.0,0.76041,
.mg.gov.br,1,0,0.0,-2.75216,
.mil,1,0,0.0,0.61488,
.mil.bd,1,0,0.0,-2.07913,
.ml,1,1,1.0,-0.97553,1.0
.mx,1,1,1.0,-0.21977,0.0
.my,1,0,0.0,-0.68997,
.hu,1,0,0.0,-0.25842,
.homes,1,0,0.0,0.35998,
.finance,1,1,1.0,-1.28364,1.0
.guru,1,1,1.0,1.54844,0.0
.fm,1,0,0.0,-0.79198,
.fund,1,0,0.0,1.09346,
.gal,1,0,0.0,0.8073,
.gle,1,0,0.0,0.8073,
.global,1,0,0.0,-0.01127,
.go.gov.br,1,0,0.0,-3.17185,
.gob.do,1,0,0.0,-1.66074,
.gob.mx,1,0,0.0,-2.60348,
.gob.ve,1,0,0.0,-1.86072,
.goog,1,0,0.0,1.54387,
.gov.au,1,0,0.0,-1.73458,
.gov.cn,1,0,0.0,-3.58905,
.gov.co,1,0,0.0,-1.68261,
.gov.ie,1,0,0.0,-2.49547,
.gov.np,1,0,0.0,-2.34652,
.gov.pk,1,0,0.0,-1.78835,
.gov.pt,1,0,0.0,-1.95975,
.gov.tr,1,0,0.0,-2.60348,
.gs,1,1,1.0,-0.15349,1.0
.health,1,0,0.0,-0.47364,
