h,basis,ncsc_date,cld_date,delta_days,check
clmm.fit,objectid,2022-11-14,2022-11-16,-2,ncsc_overlap
morganbank.site,objectid,2022-11-07,2022-11-04,3,ncsc_overlap
vay9.com,objectid,2022-11-07,2022-06-16,144,ncsc_overlap
luky.vin,objectid,2022-11-07,2022-11-09,-2,ncsc_overlap
dong247.com,objectid,2022-10-31,2022-10-17,14,ncsc_overlap
hpggroup.net,objectid,2022-10-31,2022-08-01,91,ncsc_overlap
tpbank84.com,objectid,2022-10-31,2022-11-04,-4,ncsc_overlap
vn-dienmayxanh.com,objectid,2022-10-31,2022-11-04,-4,ncsc_overlap
btlt.net,objectid,2022-10-31,2022-11-04,-4,ncsc_overlap
clmm.cam,objectid,2022-10-31,2022-08-17,75,ncsc_overlap
osq.cc,objectid,2022-10-31,2022-11-04,-4,ncsc_overlap
nghiencltx.com,objectid,2022-10-24,2022-11-04,-11,ncsc_overlap
thsdbj.com,objectid,2022-10-18,2022-09-04,44,ncsc_overlap
dangkytanggiai2022.com,objectid,2022-10-18,2022-10-19,-1,ncsc_overlap
ibkbank.net,objectid,2022-10-18,2022-10-19,-1,ncsc_overlap
sun789.vip,objectid,2022-10-12,2022-10-19,-7,ncsc_overlap
luk88.vin,objectid,2022-10-12,2022-10-16,-4,ncsc_overlap
bum68.games,objectid,2022-10-12,2022-10-19,-7,ncsc_overlap
vn765.com,objectid,2022-10-11,2022-10-19,-8,ncsc_overlap
aliexshop.vip,objectid,2022-10-11,2022-10-19,-8,ncsc_overlap
vnshop752.com,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-hethong.com,objectid,2022-10-04,2022-09-30,4,ncsc_overlap
vn-cp.info,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-cp.life,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-nc.info,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-inc.life,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-cr.life,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-cby.life,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-cby.info,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-inc.info,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-cr.info,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-nc.life,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-sbc.life,objectid,2022-10-04,2022-09-16,18,ncsc_overlap
vn-sbc.info,objectid,2022-10-04,2022-09-16,18,ncsc_overlap
vn-vc.life,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vpbbank.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-sukien.online,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-vc.info,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vnmooo0mooo.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
bbnml.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
0mo0mo.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vpbfhd.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
scbfhd.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
momofhd.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
acbfhd.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
66touo.com,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
3folt.com,objectid,2022-10-04,2022-09-18,16,ncsc_overlap
vn-ar.info,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-ar.life,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-cm.life,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-cm.info,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-ib.xyz,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-ib.icu,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-scb8.top,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-scb8.xyz,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-scbk.life,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-scbk.info,objectid,2022-10-04,2022-09-23,11,ncsc_overlap
vn-ct.xyz,objectid,2022-10-04,2022-09-30,4,ncsc_overlap
vn-us.top,objectid,2022-10-04,2022-09-30,4,ncsc_overlap
vn-tg.life,objectid,2022-10-04,2022-09-30,4,ncsc_overlap
vn-rn.club,objectid,2022-10-04,2022-09-27,7,ncsc_overlap
vn-um.life,objectid,2022-10-04,2022-09-27,7,ncsc_overlap
vn-rn.biz,objectid,2022-10-04,2022-09-27,7,ncsc_overlap
vn-tg.info,objectid,2022-10-04,2022-09-30,4,ncsc_overlap
vn-us.club,objectid,2022-10-04,2022-09-30,4,ncsc_overlap
vn-acz.top,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-um.info,objectid,2022-10-04,2022-09-27,7,ncsc_overlap
vn-uz.info,objectid,2022-10-04,2022-09-27,7,ncsc_overlap
vn-uz.life,objectid,2022-10-04,2022-09-27,7,ncsc_overlap
vn-uc.club,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-uc.top,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-sg.club,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-sg.top,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-cz.xyz,objectid,2022-10-04,2022-10-01,3,ncsc_overlap
vn-cz.top,objectid,2022-10-04,2022-10-01,3,ncsc_overlap
vn-as.life,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-hc.info,objectid,2022-10-04,2022-10-01,3,ncsc_overlap
vn-hc.life,objectid,2022-10-04,2022-10-01,3,ncsc_overlap
vn-as.club,objectid,2022-10-04,2022-09-29,5,ncsc_overlap
vn-link.com,objectid,2022-10-04,2022-10-01,3,ncsc_overlap
vn-iy.info,objectid,2022-10-04,2022-10-02,2,ncsc_overlap
vn-iy.life,objectid,2022-10-04,2022-10-02,2,ncsc_overlap
vn-qc.xyz,objectid,2022-10-04,2022-10-02,2,ncsc_overlap
vn-sp.xyz,objectid,2022-10-04,2022-10-02,2,ncsc_overlap
vn-sp.top,objectid,2022-10-04,2022-10-01,3,ncsc_overlap
vn-qc.top,objectid,2022-10-04,2022-10-02,2,ncsc_overlap
hdcreditvn.com,objectid,2022-09-29,2022-09-17,12,ncsc_overlap
meetup05.com,objectid,2022-09-27,2022-09-04,23,ncsc_overlap
thabet.co,objectid,2022-09-27,2021-07-27,427,ncsc_overlap
thabet.gg,objectid,2022-09-27,2022-02-11,228,ncsc_overlap
evn666888.org,objectid,2022-09-27,2022-09-27,0,ncsc_overlap
247giaodich.com,objectid,2022-09-18,2022-09-09,9,ncsc_overlap
vn-iu.info,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-ac.info,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-icl.life,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-tcb.info,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-icl.info,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-ac.life,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-ic.info,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-ur.info,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-qn.top,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-tcb.life,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-ic.life,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-ur.life,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-qs.top,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-iu.life,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-xw.top,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-us.shop,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-xy.top,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-vq.top,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-in.help,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-in.click,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
com-nq.top,objectid,2022-09-18,2022-09-10,8,ncsc_overlap
vn-lr.info,objectid,2022-09-18,2022-09-13,5,ncsc_overlap
vn-ol.life,objectid,2022-09-18,2022-09-13,5,ncsc_overlap
vn-lr.life,objectid,2022-09-18,2022-09-13,5,ncsc_overlap
vn-oc.top,objectid,2022-09-18,2022-09-13,5,ncsc_overlap
vn-oc.xyz,objectid,2022-09-18,2022-09-13,5,ncsc_overlap
vn-ol.info,objectid,2022-09-18,2022-09-14,4,ncsc_overlap
vn-cbs.life,objectid,2022-09-18,2022-09-15,3,ncsc_overlap
vn-cbs.info,objectid,2022-09-18,2022-09-15,3,ncsc_overlap
vn-rc.info,objectid,2022-09-18,2022-09-14,4,ncsc_overlap
vn-rc.life,objectid,2022-09-18,2022-09-14,4,ncsc_overlap
vn-lcb.info,objectid,2022-09-18,2022-09-15,3,ncsc_overlap
vn-lcb.life,objectid,2022-09-18,2022-09-15,3,ncsc_overlap
44goltor.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
msbfhd.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
tryhkh.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
pohkf.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
6hoom.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
9ferl0.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
vocbm.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
9scpb.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
ascbo.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
8toom.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
smbnv.com,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
tracuugiaodichvi.com,objectid,2022-09-18,2022-09-03,15,ncsc_overlap
la535.com,objectid,2022-09-18,2022-09-20,-2,ncsc_overlap
evnonline.org,objectid,2022-09-18,2022-09-16,2,ncsc_overlap
vaynhanhnamthanh.pro,objectid,2022-09-18,2022-09-05,13,ncsc_overlap
mm247.me,objectid,2022-09-18,2023-01-02,-106,ncsc_overlap
baolong1.pro,objectid,2022-09-18,2022-09-23,-5,ncsc_overlap
phuhungcash.com,objectid,2022-09-13,2022-09-16,-3,ncsc_overlap
songhung.pro,objectid,2022-09-13,2022-09-16,-3,ncsc_overlap
vnexpress24h.online,objectid,2022-09-05,2022-08-30,6,ncsc_overlap
vpbsvn.com,objectid,2022-09-05,2022-09-01,4,ncsc_overlap
vn-it.xyz,objectid,2022-09-05,2022-09-01,4,ncsc_overlap
vn-vi.life,objectid,2022-09-05,2022-08-31,5,ncsc_overlap
vn-isi.vip,objectid,2022-09-05,2022-08-31,5,ncsc_overlap
vn-isi.top,objectid,2022-09-05,2022-08-31,5,ncsc_overlap
vn-iil.top,objectid,2022-09-05,2022-08-31,5,ncsc_overlap
vn-it.top,objectid,2022-09-05,2022-09-01,4,ncsc_overlap
vn-7v.top,objectid,2022-09-05,2022-09-01,4,ncsc_overlap
vn-7v.vip,objectid,2022-09-05,2022-09-01,4,ncsc_overlap
vn-trangchu.com,objectid,2022-09-05,2022-08-31,5,ncsc_overlap
vn-iis.top,objectid,2022-09-05,2022-08-31,5,ncsc_overlap
dienmayxanh-vip.com,objectid,2022-08-31,2022-10-14,-44,ncsc_overlap
tiki888.com,objectid,2022-08-31,2021-07-16,411,ncsc_overlap
vn-nhanqua.online,objectid,2022-08-29,2022-08-27,2,ncsc_overlap
vn-ng.xyz,objectid,2022-08-29,2022-08-28,1,ncsc_overlap
tpbankvnvn.com,objectid,2022-08-28,2022-08-22,6,ncsc_overlap
eximbank.today,objectid,2022-08-28,2022-08-22,6,ncsc_overlap
vn-ro.vip,objectid,2022-08-28,2022-08-22,6,ncsc_overlap
vn-ro.top,objectid,2022-08-28,2022-08-22,6,ncsc_overlap
vn-ro.xyz,objectid,2022-08-28,2022-08-22,6,ncsc_overlap
vn-vtc.xyz,objectid,2022-08-28,2022-08-25,3,ncsc_overlap
vn-nw.xyz,objectid,2022-08-28,2022-08-25,3,ncsc_overlap
vn-cv.vip,objectid,2022-08-28,2022-08-25,3,ncsc_overlap
vn-ac.top,objectid,2022-08-28,2022-08-25,3,ncsc_overlap
trummomo.com,objectid,2022-08-24,2022-07-12,43,ncsc_overlap
lazadaapp.shop,objectid,2022-08-24,2022-08-26,-2,ncsc_overlap
vn-io.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-in.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-io.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-c.xyz,objectid,2022-08-22,2021-11-18,277,ncsc_overlap
vn-ie.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-in.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-c.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ii.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-is.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ls.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ls.top,objectid,2022-08-22,2022-08-01,21,ncsc_overlap
vn-ts.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-zn.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-s.info,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-xy.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ts.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-cl.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-pl.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ul.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ql.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-lt.xyz,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-ql.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-rl.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-ol.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-pl.xyz,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-lt.top,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-nt.top,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-ly.xyz,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-ly.top,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-security.vip,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-tc.xyz,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-tc.top,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-nt.xyz,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-ol.top,objectid,2022-08-22,2022-08-08,14,ncsc_overlap
vn-th.top,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-th.xyz,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-tn.info,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
vn-tn.top,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
vn-tq.info,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-tq.top,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
vn-tq.xyz,objectid,2022-08-22,2022-08-11,11,ncsc_overlap
com-ab.top,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
com-ol.top,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
com-ut.top,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
vn-pr.top,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
com-ut.xyz,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
vn-ic.top,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-ty.xyz,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-ic.xyz,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-pr.xyz,objectid,2022-08-22,2022-08-13,9,ncsc_overlap
vn-ty.top,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-zl.top,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-zr.xyz,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-zr.top,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
acbvnliin.com,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-zl.xyz,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-cb.xyz,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
acbvnlin.com,objectid,2022-08-22,2022-08-14,8,ncsc_overlap
vn-cb.info,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-cb.top,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-security.club,objectid,2022-08-22,2022-08-18,4,ncsc_overlap
vn-zt.xyz,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-co.top,objectid,2022-08-22,2022-08-18,4,ncsc_overlap
vn-sc.vip,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-vp.top,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-sc.top,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-vp.xyz,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-zt.top,objectid,2022-08-22,2022-08-16,6,ncsc_overlap
vn-co.xyz,objectid,2022-08-22,2022-08-18,4,ncsc_overlap
vn-tr.xyz,objectid,2022-08-22,2022-08-18,4,ncsc_overlap
vn-tr.top,objectid,2022-08-22,2022-08-18,4,ncsc_overlap
vn-ch.top,objectid,2022-08-22,2022-08-19,3,ncsc_overlap
vn-eg.xyz,objectid,2022-08-22,2022-08-19,3,ncsc_overlap
vn-scb.xyz,objectid,2022-08-22,2022-08-19,3,ncsc_overlap
vn-scb.top,objectid,2022-08-22,2022-08-19,3,ncsc_overlap
vn-ch.xyz,objectid,2022-08-22,2022-08-19,3,ncsc_overlap
vn-eg.top,objectid,2022-08-22,2022-08-19,3,ncsc_overlap
vn-bk.vip,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-bk.top,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-cr.xyz,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-cr.top,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-sn.top,objectid,2022-08-22,2022-08-21,1,ncsc_overlap
vn-kr.xyz,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-sn.xyz,objectid,2022-08-22,2022-08-21,1,ncsc_overlap
vn-tpbank.com,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-kr.top,objectid,2022-08-22,2022-08-20,2,ncsc_overlap
vn-tx.top,objectid,2022-08-22,2022-08-21,1,ncsc_overlap
vn-tx.xyz,objectid,2022-08-22,2022-08-21,1,ncsc_overlap
tikivn668.com,objectid,2022-08-16,2022-08-17,-1,ncsc_overlap
sd8750.xyz,objectid,2022-08-08,2022-10-17,-70,ncsc_overlap
cltx888.me,objectid,2022-07-19,2022-08-01,-13,ncsc_overlap
vidientuvietnam247.com,objectid,2022-07-17,2022-07-14,3,ncsc_overlap
bidv.me,objectid,2020-10-08,2021-07-23,-288,ncsc_overlap
vaynhanh-techcombank.com,objectid,2020-10-08,2021-06-19,-254,ncsc_overlap
hymyxmr.cn,objectid,2020-10-08,2021-07-24,-289,ncsc_overlap
vietinbank.cc,objectid,2021-06-10,2021-05-07,34,ncsc_overlap
hbcredit.cc,objectid,2021-06-17,2021-06-17,0,ncsc_overlap
tricker.vn,objectid,2021-07-02,2021-05-07,56,ncsc_overlap
baohiemvietinbank.com,objectid,2021-06-28,2021-07-07,-9,ncsc_overlap
nganhang-vpbank.com,objectid,2021-06-28,2021-06-19,9,ncsc_overlap
seabank-nganhanghanoi.com,objectid,2021-06-28,2021-06-19,9,ncsc_overlap
vaynganhangagribank.xyz,objectid,2021-06-28,2021-06-19,9,ncsc_overlap
vay-tpbank.site,objectid,2021-06-28,2021-06-19,9,ncsc_overlap
tinchap-nganhang.online,objectid,2021-06-28,2021-07-07,-9,ncsc_overlap
support-nganhang.site,objectid,2021-06-28,2021-07-07,-9,ncsc_overlap
vaynganhangvn.com,objectid,2021-06-28,2021-06-19,9,ncsc_overlap
locabank.vn,objectid,2021-06-28,2021-07-07,-9,ncsc_overlap
shopeesukien.com,objectid,2021-06-24,2021-06-23,1,ncsc_overlap
vidientusp.vn,objectid,2021-07-13,2021-07-23,-10,ncsc_overlap
shopeesukien.com,objectid,2021-07-09,2021-06-23,16,ncsc_overlap
shopeehethong.com,objectid,2021-07-09,2021-06-26,13,ncsc_overlap
loginame.biz,objectid,2021-08-02,2021-08-07,-5,ncsc_overlap
5ggsm.app,objectid,2021-08-02,2021-05-07,87,ncsc_overlap
deniex.online,objectid,2021-08-02,2021-07-25,8,ncsc_overlap
facebook.com,objectid,2021-08-30,2021-05-07,115,ncsc_overlap
facebook.com,objectid,2021-08-30,2021-05-07,115,ncsc_overlap
rkceb.com,objectid,2021-09-21,2021-09-16,5,ncsc_overlap
thanhphomomo.com,objectid,2021-09-18,2021-07-24,56,ncsc_overlap
msccbb.com,objectid,2021-09-18,2021-09-18,0,ncsc_overlap
slsccb.com,objectid,2021-10-01,2021-10-01,0,ncsc_overlap
app.marketcmc.com,objectid,2021-09-28,2021-09-28,0,ncsc_overlap
chanletocdo.com,objectid,2021-09-26,2021-09-27,-1,ncsc_overlap
bosschanle.net,objectid,2021-09-26,2021-09-26,0,ncsc_overlap
nguyenkim.info,objectid,2021-09-26,2021-05-30,119,ncsc_overlap
suachuadienmayxanh.com.vn,objectid,2021-09-26,2021-08-05,52,ncsc_overlap
0s600.com,objectid,2021-09-25,2021-08-03,53,ncsc_overlap
clmomo.ml,objectid,2021-09-25,2021-09-27,-2,ncsc_overlap
acb.vn-ibank.info,objectid,2021-10-21,2021-10-22,-1,ncsc_overlap
chuongtrinhgionghatvietnamnhi2021.weebly.com,objectid,2021-10-18,2021-10-24,-6,ncsc_overlap
bitono.club,objectid,2021-10-13,2021-07-19,86,ncsc_overlap
sekaibo.com,objectid,2021-10-13,2021-09-08,35,ncsc_overlap
bidvsmat.com,objectid,2021-10-13,2021-10-02,11,ncsc_overlap
smrtbiidvv.com,objectid,2021-10-13,2021-10-11,2,ncsc_overlap
acbbank.xyz,objectid,2021-11-10,2021-11-12,-2,ncsc_overlap
vaylientay79.com,objectid,2021-11-09,2021-11-09,0,ncsc_overlap
650vn.com,objectid,2022-05-04,2022-05-06,-2,ncsc_overlap
lazada.bet,objectid,2022-04-14,2022-02-21,52,ncsc_overlap
dhl888.net,objectid,2022-04-05,2022-03-27,9,ncsc_overlap
shopmall68.com,objectid,2022-04-05,2022-03-24,12,ncsc_overlap
vn222.vn,objectid,2022-04-05,2022-04-03,2,ncsc_overlap
vcbgijlbink.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
vcbdiegbink.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
vcbigebink.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
vcbtinbing.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
vcbgirbink.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
vcbdsgbink.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
vcbingbink.com,objectid,2022-03-22,2022-03-19,3,ncsc_overlap
sedo28.com,objectid,2022-02-11,2022-03-01,-18,ncsc_overlap
amazon-deals-z.com,objectid,2021-12-28,2021-12-11,17,ncsc_overlap
goicuutro.digital,objectid,2021-12-21,2021-12-21,0,ncsc_overlap
inet-ebank.com,objectid,2021-12-21,2021-12-20,1,ncsc_overlap
kiemtienmomo.weebly.com,objectid,2021-12-21,2021-12-21,0,ncsc_overlap
vuimomo.vin,objectid,2021-12-13,2021-12-11,2,ncsc_overlap
sacombank.vn-me.top,objectid,2021-12-07,2021-12-05,2,ncsc_overlap
sacombank.vn-vip.xyz,objectid,2021-12-06,2021-12-03,3,ncsc_overlap
lixi.pro,objectid,2021-12-06,2021-12-04,2,ncsc_overlap
mmotool24h.net,objectid,2021-11-29,2021-11-23,6,ncsc_overlap
acb.vn-mybank.top,objectid,2021-11-29,2021-11-26,3,ncsc_overlap
shopee.qua-tang.vn,objectid,2021-11-29,2021-11-27,2,ncsc_overlap
bidv.vndvcong.com,objectid,2021-11-29,2021-11-27,2,ncsc_overlap
biidvt.top,objectid,2021-11-29,2021-11-28,1,ncsc_overlap
biidvd.top,objectid,2021-11-29,2021-11-29,0,ncsc_overlap
vuachanle.club,objectid,2021-11-22,2021-10-09,44,ncsc_overlap
clmm.tv,objectid,2021-11-22,2021-11-21,1,ncsc_overlap
acb.vn-c.xyz,objectid,2021-11-22,2021-11-18,4,ncsc_overlap
acb.vn-e.xyz,objectid,2021-11-22,2021-11-19,3,ncsc_overlap
acb.vn-a.xyz,objectid,2021-11-22,2021-12-09,-17,ncsc_overlap
acb.vn-k.xyz,objectid,2021-11-22,2021-11-21,1,ncsc_overlap
bidv.ismtbvn.com,objectid,2021-11-21,2021-11-20,1,ncsc_overlap
quocthang.me,objectid,2021-11-19,2021-11-15,4,ncsc_overlap
bobatrading.com,objectid,2021-11-19,2021-11-13,6,ncsc_overlap
